,City,Country,Lat,Long,Temp,Humidity,Cloudiness,Windspeed
432,Miles City,US,46.41,-105.84,17.0,82,1,6.02
433,Coolum Beach,AU,-26.53,153.1,10.78,94,8,2.66
434,Raja,SS,8.46,25.68,26.21,77,49,2.39
435,Vila Franca do Campo,PT,37.72,-25.43,22.0,73,40,6.2
436,Pankrushikha,RU,53.83,80.34,17.76,67,0,4.69
437,Ahipara,NZ,-35.17,173.17,13.76,90,95,3.28
438,Santa Ana,US,33.75,-117.87,18.65,77,75,3.6
439,Asola,IT,45.22,10.41,27.92,36,0,2.1
440,Ayr,GB,55.46,-4.63,17.0,63,40,5.7
441,Chapais,CA,49.78,-74.85,23.0,53,1,3.1
442,Caconda,AO,-13.73,15.07,23.66,18,0,3.58
443,Seydişehir,TR,37.42,31.85,29.78,31,66,1.8
444,Noormarkku,FI,61.59,21.87,21.0,64,81,5.1
445,Margate,GB,51.38,1.39,23.37,52,99,0.45
446,Kieta,PG,-6.22,155.63,25.62,80,100,1.15
447,Kouango,CF,4.99,19.96,26.55,74,93,0.57
448,Tabuk,PH,17.42,121.44,24.31,86,100,1.79
449,Tilichiki,RU,60.47,166.1,9.49,100,100,1.84
450,Licata,IT,37.11,13.95,26.24,61,4,6.7
451,Skjervøy,NO,70.03,20.97,12.6,76,17,2.14
452,Uyemskiy,RU,64.47,40.85,22.0,49,90,2.0
453,Amga,RU,60.9,131.96,19.39,95,88,1.84
454,Thurso,GB,58.59,-3.53,16.25,48,50,8.7
455,Okhotsk,RU,59.38,143.3,13.12,92,100,1.38
456,Boa Vista,BR,2.82,-60.67,22.0,88,75,2.6
457,Rosarito,MX,32.33,-117.03,18.8,93,90,4.6
458,Muzhi,RU,65.37,64.67,18.31,74,92,3.23
459,Jalu,LY,29.03,21.55,37.73,16,0,6.89
460,Shetpe,KZ,44.17,52.12,34.49,20,0,6.49
461,Yokadouma,CM,3.52,15.05,24.9,89,77,0.54
462,Kahului,US,20.89,-156.47,21.99,64,1,1.5
463,Aksu,CN,41.12,80.26,24.95,38,95,2.53
464,Leshukonskoye,RU,64.9,45.76,20.56,43,47,3.55
465,Esperanza,DO,19.58,-70.98,31.67,60,0,4.02
466,Kabare,CD,-2.47,28.82,19.82,57,85,2.13
467,Baião,BR,-2.79,-49.67,33.42,38,0,2.57
468,Anadyr,RU,64.75,177.48,10.75,76,20,15.0
469,Itarema,BR,-2.92,-39.92,30.41,56,11,6.52
470,Griffith,US,41.53,-87.42,28.14,78,1,4.6
471,Camocim,BR,-2.9,-40.84,31.52,50,9,5.14
472,Tucumã,BR,-0.18,-50.05,30.35,59,12,2.45
473,Erzin,TR,36.96,36.2,27.22,79,1,4.92
474,Bridlington,GB,54.08,-0.19,18.35,82,100,4.6
475,Chabahar,IR,25.29,60.64,31.72,74,0,0.94
476,Prainha,BR,-1.8,-53.48,31.1,52,0,2.67
477,Flinders,AU,-34.58,150.86,10.49,84,100,0.45
478,Northam,GB,51.03,-4.22,18.71,80,93,4.47
479,Khani,GE,41.96,42.96,28.0,69,40,6.7
480,Puerto Peñasco,MX,31.32,-113.53,30.0,80,0,5.81
481,Ust'-Kulom,RU,61.69,53.69,23.32,58,0,1.52
482,Laas,IT,46.62,10.7,20.31,42,20,3.6
483,Nemuro,JP,43.32,145.57,14.43,96,32,4.29
484,Vila Velha,BR,-20.33,-40.29,23.88,69,75,3.6
485,Gisborne,NZ,-38.65,178.0,12.22,76,100,0.89
486,Nizhneangarsk,RU,55.78,109.55,9.19,83,71,0.78
487,Painesville,US,41.72,-81.25,29.36,45,1,2.6
488,Fare,PF,-16.7,-151.02,24.47,82,99,10.28
489,Ust'-Ilimsk,RU,58.0,102.66,10.02,86,92,2.0
490,Bogandé,BF,12.97,-0.14,33.35,43,100,4.57
491,Auki,SB,-8.77,160.7,25.62,84,99,1.59
492,Bongor,TD,10.28,15.37,31.66,50,100,2.16
493,Mahanoro,MG,-19.9,48.8,20.41,83,48,5.28
494,Galesong,ID,-5.32,119.37,25.0,100,40,1.5
495,Nānākuli,US,21.39,-158.15,22.28,83,1,1.5
496,Basco,PH,20.45,121.97,29.54,81,79,5.36
497,Vanderhoof,CA,54.02,-124.02,12.79,70,99,2.53
498,Senno,RU,59.53,33.92,23.8,43,100,2.94
499,Codrington,AU,-38.27,141.97,11.13,63,95,6.18
500,Morehead,US,37.27,-87.18,29.06,78,1,2.1
501,Wanning,CN,18.8,110.4,27.72,84,91,4.67
502,Meadow Lake,US,34.8,-106.54,21.98,64,75,4.1
503,Samarinda,ID,-0.5,117.15,23.53,92,100,0.57
504,Te Anau,NZ,-45.42,167.72,0.33,92,4,0.35
505,The Valley,AI,18.22,-63.06,29.4,62,40,5.7
506,Sinnamary,GF,5.38,-52.95,29.32,68,1,3.84
507,Tuatapere,NZ,-46.13,167.68,1.59,85,0,1.66
508,Juneau,US,58.3,-134.42,12.9,87,90,5.7
509,Tura,IN,25.52,90.22,24.6,96,99,2.95
510,Pacific Grove,US,36.62,-121.92,13.87,87,90,0.81
511,Agadez,NE,19.75,10.25,40.06,8,18,3.57
512,Mosjøen,NO,65.84,13.19,19.0,48,20,2.6
513,Durusu,TR,41.31,28.68,24.77,73,40,7.7
514,Sarakhs,IR,36.54,61.16,40.0,17,0,4.1
515,Batemans Bay,AU,-35.72,150.18,6.52,91,100,0.45
516,Esparta,HN,15.74,-87.18,28.0,88,40,1.25
517,Yablonovo,RU,50.85,37.36,25.0,41,51,3.0
518,Sylacauga,US,33.17,-86.25,30.02,62,1,0.62
519,Angoche,MZ,-16.23,39.91,22.45,73,0,5.85
520,Shubarkuduk,KZ,49.14,56.49,35.83,14,87,3.73
521,Antofagasta,CL,-23.65,-70.4,14.0,67,90,3.6
522,Altay,CN,47.87,88.12,22.69,36,0,1.09
523,Los Llanos de Aridane,ES,28.66,-17.92,26.0,74,58,5.7
524,Manzhouli,CN,49.6,117.43,14.16,93,100,2.2
525,Challapata,BO,-18.9,-66.77,12.02,30,0,1.71
526,Rāpar,IN,23.57,70.63,32.7,63,64,7.26
527,Caucayá,CO,-0.19,-74.78,25.89,89,69,0.53
528,Shāhgarh,IN,24.32,79.13,33.86,48,100,1.33
529,Santa Fe,AR,-31.63,-60.7,21.99,100,16,6.03
